Days,Model,Mean,Std,CI95
100,Full-Model,0.3589,0.0000,0.0000
100,No-Yao,0.3589,0.0000,0.0000
100,No-Delta,0.3589,0.0000,0.0000
100,Symmetric,0.3589,0.0000,0.0000
100,Trigram-V4,0.3589,0.0000,0.0000
100,Neural-Net,0.2866,0.0295,0.0259
200,Full-Model,0.4329,0.0000,0.0000
200,No-Yao,0.4329,0.0000,0.0000
200,No-Delta,0.4329,0.0000,0.0000
200,Symmetric,0.4329,0.0000,0.0000
200,Trigram-V4,0.4329,0.0000,0.0000
200,Neural-Net,0.3490,0.0385,0.0337
500,Full-Model,0.4849,0.0000,0.0000
500,No-Yao,0.4849,0.0000,0.0000
500,No-Delta,0.4849,0.0000,0.0000
500,Symmetric,0.4849,0.0000,0.0000
500,Trigram-V4,0.4849,0.0000,0.0000
500,Neural-Net,0.4619,0.0203,0.0178
1000,Full-Model,0.5644,0.0000,0.0000
1000,No-Yao,0.5644,0.0000,0.0000
1000,No-Delta,0.5644,0.0000,0.0000
1000,Symmetric,0.5644,0.0000,0.0000
1000,Trigram-V4,0.5644,0.0000,0.0000
1000,Neural-Net,0.5381,0.0201,0.0176
2000,Full-Model,0.4986,0.0000,0.0000
2000,No-Yao,0.4986,0.0000,0.0000
2000,No-Delta,0.4986,0.0000,0.0000
2000,Symmetric,0.4986,0.0000,0.0000
2000,Trigram-V4,0.4986,0.0000,0.0000
2000,Neural-Net,0.4816,0.0136,0.0119
3000,Full-Model,0.5479,0.0000,0.0000
3000,No-Yao,0.5479,0.0000,0.0000
3000,No-Delta,0.5479,0.0000,0.0000
3000,Symmetric,0.5479,0.0000,0.0000
3000,Trigram-V4,0.5479,0.0000,0.0000
3000,Neural-Net,0.5677,0.0086,0.0075
