Days,Model,Mean,Std,CI95
100,Trigram+Feat,0.3589,0.0000,0.0000
100,Trigram-Base,0.3589,0.0000,0.0000
100,NN+Feat,0.3085,0.0405,0.0355
100,NN-Base,0.2866,0.0295,0.0259
200,Trigram+Feat,0.4329,0.0000,0.0000
200,Trigram-Base,0.4329,0.0000,0.0000
200,NN+Feat,0.2838,0.1003,0.0879
200,NN-Base,0.3490,0.0385,0.0337
500,Trigram+Feat,0.4849,0.0000,0.0000
500,Trigram-Base,0.4849,0.0000,0.0000
500,NN+Feat,0.4575,0.0017,0.0015
500,NN-Base,0.4619,0.0203,0.0178
1000,Trigram+Feat,0.5644,0.0000,0.0000
1000,Trigram-Base,0.5644,0.0000,0.0000
1000,NN+Feat,0.4784,0.0211,0.0185
1000,NN-Base,0.5381,0.0201,0.0176
2000,Trigram+Feat,0.4986,0.0000,0.0000
2000,Trigram-Base,0.4986,0.0000,0.0000
2000,NN+Feat,0.4296,0.0094,0.0082
2000,NN-Base,0.4816,0.0136,0.0119
3000,Trigram+Feat,0.5479,0.0000,0.0000
3000,Trigram-Base,0.5479,0.0000,0.0000
3000,NN+Feat,0.4515,0.0032,0.0028
3000,NN-Base,0.5677,0.0086,0.0075
