Days,Model,Mean,Std,CI95
100,Trigram-K1,0.3589,0.0000,0.0000
100,Trigram-K3,0.3589,0.0000,0.0000
100,Trigram-K5,0.3589,0.0000,0.0000
100,Trigram-K7,0.3589,0.0000,0.0000
100,NN-K1,0.2811,0.0907,0.0795
100,NN-K3,0.2866,0.0295,0.0259
100,NN-K5,0.2888,0.0395,0.0346
100,NN-K7,0.2734,0.0435,0.0381
200,Trigram-K1,0.4329,0.0000,0.0000
200,Trigram-K3,0.4329,0.0000,0.0000
200,Trigram-K5,0.4329,0.0000,0.0000
200,Trigram-K7,0.4329,0.0000,0.0000
200,NN-K1,0.3468,0.0727,0.0637
200,NN-K3,0.3490,0.0385,0.0337
200,NN-K5,0.3595,0.0208,0.0183
200,NN-K7,0.3551,0.0174,0.0152
500,Trigram-K1,0.4849,0.0000,0.0000
500,Trigram-K3,0.4849,0.0000,0.0000
500,Trigram-K5,0.4849,0.0000,0.0000
500,Trigram-K7,0.4849,0.0000,0.0000
500,NN-K1,0.4575,0.0131,0.0115
500,NN-K3,0.4619,0.0203,0.0178
500,NN-K5,0.4630,0.0142,0.0124
500,NN-K7,0.4581,0.0086,0.0075
1000,Trigram-K1,0.5644,0.0000,0.0000
1000,Trigram-K3,0.5644,0.0000,0.0000
1000,Trigram-K5,0.5644,0.0000,0.0000
1000,Trigram-K7,0.5644,0.0000,0.0000
1000,NN-K1,0.5507,0.0275,0.0241
1000,NN-K3,0.5381,0.0201,0.0176
1000,NN-K5,0.5337,0.0281,0.0246
1000,NN-K7,0.5452,0.0148,0.0130
2000,Trigram-K1,0.4986,0.0000,0.0000
2000,Trigram-K3,0.4986,0.0000,0.0000
2000,Trigram-K5,0.4986,0.0000,0.0000
2000,Trigram-K7,0.4986,0.0000,0.0000
2000,NN-K1,0.5282,0.0113,0.0099
2000,NN-K3,0.4816,0.0136,0.0119
2000,NN-K5,0.4877,0.0198,0.0173
2000,NN-K7,0.4855,0.0091,0.0080
3000,Trigram-K1,0.5479,0.0000,0.0000
3000,Trigram-K3,0.5479,0.0000,0.0000
3000,Trigram-K5,0.5479,0.0000,0.0000
3000,Trigram-K7,0.5479,0.0000,0.0000
3000,NN-K1,0.5501,0.0027,0.0024
3000,NN-K3,0.5677,0.0086,0.0075
3000,NN-K5,0.5600,0.0108,0.0094
3000,NN-K7,0.5726,0.0067,0.0059
