Days,Model,Mean,Std,CI95
100,HMM-Factored,0.3562,0.0000,0.0000
100,HMM-Full,0.3562,0.0000,0.0000
100,Trigram,0.3589,0.0000,0.0000
100,Neural-Net,0.2866,0.0295,0.0259
200,HMM-Factored,0.3753,0.0000,0.0000
200,HMM-Full,0.3753,0.0000,0.0000
200,Trigram,0.4329,0.0000,0.0000
200,Neural-Net,0.3490,0.0385,0.0337
500,HMM-Factored,0.4575,0.0000,0.0000
500,HMM-Full,0.4575,0.0000,0.0000
500,Trigram,0.4849,0.0000,0.0000
500,Neural-Net,0.4619,0.0203,0.0178
1000,HMM-Factored,0.4466,0.0000,0.0000
1000,HMM-Full,0.4466,0.0000,0.0000
1000,Trigram,0.5644,0.0000,0.0000
1000,Neural-Net,0.5381,0.0201,0.0176
2000,HMM-Factored,0.3918,0.0000,0.0000
2000,HMM-Full,0.3918,0.0000,0.0000
2000,Trigram,0.4986,0.0000,0.0000
2000,Neural-Net,0.4816,0.0136,0.0119
3000,HMM-Factored,0.4493,0.0000,0.0000
3000,HMM-Full,0.4493,0.0000,0.0000
3000,Trigram,0.5479,0.0000,0.0000
3000,Neural-Net,0.5677,0.0086,0.0075
